ncands	jac_class	jac_instance
9.993852e+00	0.248036	0.247982
9.993852e+00	0.248036	0.247982
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
8.821790e+01	0.649887	0.563190
9.745560e+01	0.661681	0.575949
1.074276e+02	0.673493	0.581307
1.264085e+02	0.689309	0.597950
1.363490e+02	0.696015	0.601513
1.462814e+02	0.701304	0.604519
1.749631e+02	0.713778	0.621553
1.947787e+02	0.720708	0.626135
2.246182e+02	0.728853	0.636156
2.443750e+02	0.733183	0.639960
2.740458e+02	0.739314	0.644556
4.705608e+02	0.763622	0.684830
5.882220e+02	0.776905	0.694892
6.845956e+02	0.782577	0.701959
7.445956e+02	0.785495	0.707816
8.392090e+02	0.787977	0.712169
9.659344e+02	0.790945	0.725613
1.577779e+03	0.802732	0.741179
1.610721e+03	0.803329	0.746198
1.614469e+03	0.803390	0.746917
1.615644e+03	0.803404	0.747283
2.112913e+03	0.808101	0.753840
2.313696e+03	0.809962	0.760308
2.931659e+03	0.813464	0.767216
4.176869e+03	0.819642	0.776771
4.313539e+03	0.819871	0.779918
6.652771e+03	0.823371	0.785418
1.072306e+04	0.827887	0.793255
1.085973e+04	0.827993	0.794881
1.129079e+04	0.828286	0.796030
1.378447e+04	0.829746	0.798688
1.420455e+04	0.829876	0.799318
1.425958e+04	0.829891	0.799527
1.429627e+04	0.829900	0.800053
1.558091e+04	0.830214	0.802905
2.110315e+04	0.831113	0.804792
2.235258e+04	0.831267	0.806026
2.647263e+04	0.831762	0.808779
3.244277e+04	0.832369	0.810545
3.369404e+04	0.832444	0.811564
3.419317e+04	0.832462	0.811793
3.467199e+04	0.832468	0.811980
3.554333e+04	0.832471	0.812150
3.749199e+04	0.832474	0.812211
3.766301e+04	0.832474	0.812215
3.845466e+04	0.832474	0.812217
