ncands	jac_class	jac_instance
9.994536e+00	0.316573	0.317053
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.955260e+01	0.564372	0.507455
6.879918e+01	0.610785	0.544326
7.822404e+01	0.628152	0.556575
8.746175e+01	0.644454	0.569991
9.644399e+01	0.652772	0.579019
1.064426e+02	0.661445	0.587301
1.152179e+02	0.665806	0.593982
1.351243e+02	0.675108	0.604732
1.561885e+02	0.683687	0.611071
1.649638e+02	0.686099	0.616097
2.655813e+02	0.707969	0.636022
2.743566e+02	0.709196	0.639276
3.614788e+02	0.720487	0.660747
4.214788e+02	0.726444	0.668769
5.482042e+02	0.730005	0.683544
5.811462e+02	0.730571	0.688985
5.848941e+02	0.730623	0.689704
5.860690e+02	0.730635	0.690069
7.868525e+02	0.732172	0.696767
1.404816e+03	0.735833	0.704943
1.504796e+03	0.736251	0.706832
1.541486e+03	0.736397	0.709004
2.826128e+03	0.736741	0.712451
2.827962e+03	0.736742	0.712461
2.917470e+03	0.736752	0.712782
4.077395e+03	0.736826	0.713882
4.081143e+03	0.736826	0.713884
4.556218e+03	0.736836	0.714310
5.427558e+03	0.736839	0.714583
5.492792e+03	0.736840	0.714584
5.598573e+03	0.736840	0.714593
7.376219e+03	0.736842	0.714647
7.547234e+03	0.736842	0.714654
8.338889e+03	0.736842	0.714667
