ncands	jac_class	jac_instance
9.986339e+00	0.214840	0.206734
9.986339e+00	0.214840	0.206734
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
8.821790e+01	0.649887	0.563190
9.745560e+01	0.661681	0.575949
1.074276e+02	0.673493	0.581307
1.264085e+02	0.689309	0.597950
1.363490e+02	0.696015	0.601513
1.462814e+02	0.701304	0.604519
1.749631e+02	0.713778	0.621553
1.947787e+02	0.720708	0.626135
2.246182e+02	0.728853	0.636156
2.443750e+02	0.733183	0.639960
2.740458e+02	0.739314	0.644556
4.705608e+02	0.763622	0.684830
5.882220e+02	0.776905	0.694892
6.081735e+02	0.778615	0.695585
6.181735e+02	0.779420	0.695893
7.145471e+02	0.785164	0.702947
7.344255e+02	0.786209	0.703443
7.944255e+02	0.789127	0.709300
8.441626e+02	0.791264	0.710234
8.740109e+02	0.792346	0.710772
9.530779e+02	0.794879	0.711874
1.047691e+03	0.797550	0.716177
1.174417e+03	0.800545	0.729620
1.283212e+03	0.803058	0.730752
1.931747e+03	0.813556	0.751208
2.030234e+03	0.814789	0.751762
2.031409e+03	0.814803	0.752128
2.061409e+03	0.815122	0.752293
2.071409e+03	0.815221	0.752348
2.453848e+03	0.818730	0.754556
2.463848e+03	0.818811	0.754600
3.161900e+03	0.824305	0.766891
3.779863e+03	0.827876	0.773799
3.867542e+03	0.828383	0.774088
4.114887e+03	0.829711	0.774871
5.292775e+03	0.834466	0.778084
5.501868e+03	0.835151	0.778536
6.537984e+03	0.838426	0.786607
6.747078e+03	0.839052	0.786999
8.109954e+03	0.842588	0.789677
8.246624e+03	0.842808	0.792819
1.120806e+04	0.846448	0.795814
1.212685e+04	0.847564	0.796823
1.910410e+04	0.851992	0.810384
2.867069e+04	0.856688	0.815036
3.158445e+04	0.857573	0.817538
3.163948e+04	0.857588	0.817747
3.167617e+04	0.857597	0.818273
3.296081e+04	0.857923	0.821125
4.342747e+04	0.859963	0.818048
4.771760e+04	0.860750	0.823628
5.071760e+04	0.861159	0.823938
5.748927e+04	0.861772	0.826713
6.757946e+04	0.862638	0.830887
7.157946e+04	0.862951	0.831121
7.283072e+04	0.863029	0.832140
7.332986e+04	0.863049	0.832368
7.380868e+04	0.863056	0.832555
7.468002e+04	0.863059	0.832725
7.662868e+04	0.863061	0.832786
7.679970e+04	0.863061	0.832790
7.759135e+04	0.863061	0.832792
