ncands	jac_class	jac_instance
9.993852e+00	0.248036	0.247982
9.993852e+00	0.248036	0.247982
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
8.821790e+01	0.649887	0.563190
9.745560e+01	0.661681	0.575949
1.074276e+02	0.673493	0.581307
1.174276e+02	0.681804	0.585685
1.364098e+02	0.696777	0.600903
1.463504e+02	0.702157	0.604012
1.563490e+02	0.707488	0.609578
1.662814e+02	0.711507	0.612198
2.149631e+02	0.727015	0.634814
2.347787e+02	0.732893	0.638863
2.547787e+02	0.737257	0.645006
3.042063e+02	0.746307	0.652001
3.240458e+02	0.749728	0.657871
4.205608e+02	0.763440	0.683769
5.182220e+02	0.773539	0.692201
6.345956e+02	0.783084	0.701404
6.445956e+02	0.783645	0.703379
6.545956e+02	0.784057	0.704566
7.892090e+02	0.788640	0.712583
1.032760e+03	0.795134	0.720837
1.129485e+03	0.797177	0.731542
1.159485e+03	0.797750	0.733652
1.192427e+03	0.798376	0.738810
1.547779e+03	0.804872	0.741179
1.610721e+03	0.806022	0.748012
1.614469e+03	0.806083	0.748731
1.616304e+03	0.806104	0.749191
1.817086e+03	0.808175	0.752043
2.113572e+03	0.810655	0.755812
2.431178e+03	0.813094	0.764791
2.531858e+03	0.813755	0.766799
2.532518e+03	0.813759	0.766875
2.891641e+03	0.815497	0.768680
2.928331e+03	0.815668	0.770878
3.684055e+03	0.819159	0.776348
3.720745e+03	0.819313	0.778401
4.551806e+03	0.821685	0.783826
8.160860e+03	0.824359	0.791776
1.045968e+04	0.825744	0.795152
1.154488e+04	0.826055	0.797952
1.448127e+04	0.826876	0.802034
1.945482e+04	0.827523	0.804635
2.257598e+04	0.827729	0.806607
2.378238e+04	0.827797	0.807604
2.410636e+04	0.827808	0.807771
2.504257e+04	0.827811	0.807949
2.505001e+04	0.827811	0.807953
2.679992e+04	0.827813	0.808001
2.759157e+04	0.827813	0.808003
