ncands	jac_class	jac_instance
9.994536e+00	0.316573	0.317053
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.955260e+01	0.566273	0.508309
6.879918e+01	0.610785	0.544326
7.822404e+01	0.628152	0.556575
8.746175e+01	0.644454	0.569991
9.746175e+01	0.658383	0.576306
1.064440e+02	0.666723	0.585288
1.164440e+02	0.675566	0.591989
1.264426e+02	0.680900	0.597837
1.364440e+02	0.685371	0.603212
1.464426e+02	0.689319	0.607792
1.664426e+02	0.695921	0.616540
1.751243e+02	0.698574	0.620977
1.951243e+02	0.703359	0.627520
2.149638e+02	0.706954	0.633518
3.114788e+02	0.720020	0.659521
3.214788e+02	0.721087	0.661866
3.314788e+02	0.721624	0.663359
3.614788e+02	0.722727	0.666852
4.582042e+02	0.725335	0.679293
4.882042e+02	0.726017	0.681818
5.211462e+02	0.726596	0.687264
5.248941e+02	0.726647	0.687983
5.267288e+02	0.726664	0.688443
5.467288e+02	0.726834	0.689255
8.443347e+02	0.729171	0.698493
9.438395e+02	0.729782	0.700465
9.450143e+02	0.729789	0.700706
9.456742e+02	0.729792	0.700782
1.304797e+03	0.731391	0.702560
1.341487e+03	0.731536	0.704855
1.440696e+03	0.731580	0.705332
2.426684e+03	0.731842	0.707790
2.428519e+03	0.731842	0.707800
2.672876e+03	0.731870	0.708767
3.633090e+03	0.731931	0.709750
3.638673e+03	0.731931	0.709760
3.957064e+03	0.731942	0.709967
4.893274e+03	0.731945	0.710145
4.900714e+03	0.731945	0.710149
6.650623e+03	0.731947	0.710197
7.442278e+03	0.731947	0.710209
