ncands	jac_class	jac_instance
9.986339e+00	0.214840	0.206734
9.986339e+00	0.214840	0.206734
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
8.821790e+01	0.649887	0.563190
9.745560e+01	0.661681	0.575949
1.074276e+02	0.673493	0.581307
1.174276e+02	0.681804	0.585685
1.364098e+02	0.696777	0.600903
1.463504e+02	0.702157	0.604012
1.563490e+02	0.707488	0.609578
1.662814e+02	0.711507	0.612198
2.149631e+02	0.727015	0.634814
2.347787e+02	0.732893	0.638863
2.547787e+02	0.737257	0.645006
3.042063e+02	0.746307	0.652001
3.240458e+02	0.749728	0.657871
4.205608e+02	0.763440	0.683769
4.405123e+02	0.765933	0.684638
5.381735e+02	0.775906	0.693042
5.481735e+02	0.776767	0.693476
6.645471e+02	0.785677	0.702394
6.745471e+02	0.786239	0.704368
6.944255e+02	0.787308	0.704872
7.441626e+02	0.789468	0.705825
7.541626e+02	0.789882	0.707013
7.840109e+02	0.791041	0.707563
8.930779e+02	0.795047	0.709306
1.027691e+03	0.799001	0.716905
1.136486e+03	0.801409	0.718023
1.476762e+03	0.808562	0.736214
1.539704e+03	0.809788	0.743482
1.638192e+03	0.811210	0.744120
1.961747e+03	0.815607	0.752799
2.060234e+03	0.816809	0.753385
2.062069e+03	0.816831	0.753845
2.356645e+03	0.819354	0.755604
2.557428e+03	0.820857	0.758159
3.171520e+03	0.825442	0.770658
3.467061e+03	0.827544	0.771751
3.567740e+03	0.828219	0.773759
3.568400e+03	0.828223	0.773835
3.927523e+03	0.829981	0.775640
3.964213e+03	0.830159	0.777838
5.508540e+03	0.836062	0.781698
6.300954e+03	0.838869	0.788783
6.470954e+03	0.839287	0.789123
7.425264e+03	0.841436	0.791005
8.256325e+03	0.843154	0.795906
1.151633e+04	0.847364	0.799160
1.243512e+04	0.848432	0.800187
1.423591e+04	0.849552	0.801668
1.846827e+04	0.851894	0.804103
1.945669e+04	0.852369	0.804540
2.207733e+04	0.853560	0.811067
2.306574e+04	0.853987	0.811479
2.536456e+04	0.854884	0.814314
2.644976e+04	0.855207	0.817113
3.273774e+04	0.856956	0.818699
3.567413e+04	0.857729	0.822605
3.666117e+04	0.857941	0.822832
4.061796e+04	0.858679	0.823491
4.261796e+04	0.858953	0.823710
4.759151e+04	0.859514	0.826210
4.859151e+04	0.859589	0.826268
5.171266e+04	0.859801	0.828231
5.291907e+04	0.859873	0.829227
5.324304e+04	0.859884	0.829394
5.417925e+04	0.859887	0.829572
5.418669e+04	0.859887	0.829576
5.593660e+04	0.859889	0.829624
5.672826e+04	0.859889	0.829626
