ncands	jac_class	jac_instance
9.966530e+00	0.198763	0.186158
9.966530e+00	0.198763	0.186158
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
1.074556e+02	0.666153	0.578746
1.174276e+02	0.677580	0.583583
1.374276e+02	0.692004	0.593380
1.473682e+02	0.697235	0.596466
1.573005e+02	0.701420	0.599120
1.862828e+02	0.713228	0.614792
2.050581e+02	0.719614	0.624240
2.248736e+02	0.725225	0.628131
2.648736e+02	0.735543	0.642104
2.746182e+02	0.737848	0.644581
2.846182e+02	0.739787	0.646595
3.349925e+02	0.748383	0.657092
3.646633e+02	0.753207	0.660824
3.734385e+02	0.754554	0.664088
4.505608e+02	0.765098	0.684524
4.704679e+02	0.767759	0.685331
4.804679e+02	0.769095	0.685665
5.781291e+02	0.778606	0.694149
5.881291e+02	0.779347	0.694362
7.045471e+02	0.786496	0.702785
7.245471e+02	0.787594	0.705773
7.444255e+02	0.788626	0.706263
7.941626e+02	0.790721	0.707182
8.041626e+02	0.791104	0.708243
9.430779e+02	0.796053	0.710452
1.087691e+03	0.800025	0.717991
1.196486e+03	0.802500	0.719092
1.898331e+03	0.813894	0.736751
2.107999e+03	0.817057	0.753712
2.206486e+03	0.818281	0.754252
2.286200e+03	0.819051	0.754525
2.511063e+03	0.820868	0.755967
2.590777e+03	0.821507	0.756208
3.417486e+03	0.827356	0.771342
3.516990e+03	0.828024	0.773114
3.849962e+03	0.829969	0.774225
4.195381e+03	0.831780	0.776189
4.534167e+03	0.833151	0.776692
5.655869e+03	0.837618	0.785532
6.251696e+03	0.839250	0.786102
6.876715e+03	0.840907	0.789794
7.781533e+03	0.842875	0.790475
8.712594e+03	0.844822	0.795456
9.579079e+03	0.846183	0.797195
9.846904e+03	0.846509	0.797367
1.376787e+04	0.851203	0.801227
1.403570e+04	0.851498	0.801377
1.426327e+04	0.851723	0.801503
1.775257e+04	0.854205	0.802733
1.940301e+04	0.855358	0.805954
2.662457e+04	0.858444	0.809606
2.962584e+04	0.859695	0.815882
3.061425e+04	0.860076	0.816236
3.291307e+04	0.860810	0.818549
3.321221e+04	0.860904	0.818617
3.560119e+04	0.861598	0.819006
3.719874e+04	0.862029	0.822309
3.914700e+04	0.862535	0.822600
4.472210e+04	0.863754	0.823209
5.111008e+04	0.865002	0.824479
5.605391e+04	0.865850	0.825319
7.461986e+04	0.868058	0.830584
8.268212e+04	0.868854	0.831027
8.518760e+04	0.869085	0.832195
8.615394e+04	0.869157	0.833170
1.028539e+05	0.870079	0.833704
1.048539e+05	0.870177	0.833780
1.119558e+05	0.870365	0.835995
1.134190e+05	0.870380	0.836230
1.142926e+05	0.870383	0.836408
1.161442e+05	0.870386	0.836468
1.165066e+05	0.870386	0.836469
1.173020e+05	0.870386	0.836471
