ncands	jac_class	jac_instance
9.993852e+00	0.248036	0.247982
9.993852e+00	0.248036	0.247982
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
1.074556e+02	0.666153	0.578746
1.174276e+02	0.677580	0.583583
1.374276e+02	0.692004	0.593380
1.473682e+02	0.697235	0.596466
1.573005e+02	0.701420	0.599120
1.862828e+02	0.713228	0.614792
2.050581e+02	0.719614	0.624240
2.248736e+02	0.725225	0.628131
2.648736e+02	0.735543	0.642104
2.746182e+02	0.737848	0.644581
2.846182e+02	0.739787	0.646595
3.349925e+02	0.748383	0.657092
3.646633e+02	0.753207	0.660824
3.734385e+02	0.754554	0.664088
4.505608e+02	0.765098	0.684524
5.582220e+02	0.776303	0.693439
6.745956e+02	0.784013	0.701856
6.945956e+02	0.785109	0.704843
7.045956e+02	0.785491	0.705904
8.092090e+02	0.789209	0.710042
8.492090e+02	0.790546	0.713980
1.551054e+03	0.804980	0.732957
1.760721e+03	0.808095	0.749918
1.971503e+03	0.809976	0.752581
2.267990e+03	0.812318	0.756124
2.587430e+03	0.814764	0.765552
2.686935e+03	0.815417	0.767325
2.952354e+03	0.816787	0.769042
3.974768e+03	0.821832	0.777344
4.074055e+03	0.822282	0.778304
4.106997e+03	0.822377	0.779908
5.005116e+03	0.824743	0.783814
5.038058e+03	0.824827	0.785341
6.655553e+03	0.826624	0.788255
6.688495e+03	0.826653	0.789082
1.067817e+04	0.829082	0.796634
1.297699e+04	0.830246	0.799365
1.457455e+04	0.830658	0.802668
2.254050e+04	0.831935	0.807293
2.504598e+04	0.832178	0.808503
2.601232e+04	0.832245	0.809478
3.311423e+04	0.832443	0.811729
3.410741e+04	0.832461	0.811791
3.457740e+04	0.832468	0.811978
3.545102e+04	0.832471	0.812156
3.730262e+04	0.832474	0.812216
3.766493e+04	0.832474	0.812217
3.846037e+04	0.832474	0.812219
