ncands	jac_class	jac_instance
9.994536e+00	0.316573	0.317053
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.955260e+01	0.566273	0.508309
6.879918e+01	0.610785	0.544326
7.879918e+01	0.624790	0.551114
9.746175e+01	0.650576	0.573219
1.074617e+02	0.661734	0.578334
1.174617e+02	0.669659	0.584730
1.464440e+02	0.685458	0.600969
1.564440e+02	0.689518	0.604462
1.652193e+02	0.692376	0.610788
2.052193e+02	0.702838	0.625280
2.149638e+02	0.705037	0.627718
2.249638e+02	0.707218	0.629859
2.555813e+02	0.712355	0.637547
2.643566e+02	0.713607	0.640811
3.414788e+02	0.723649	0.661260
3.514788e+02	0.724706	0.662805
3.614788e+02	0.725499	0.665018
3.714788e+02	0.725965	0.666346
4.014788e+02	0.727052	0.669787
5.482042e+02	0.730197	0.683865
5.782042e+02	0.730756	0.685870
6.111462e+02	0.731340	0.691252
9.305867e+02	0.733772	0.701511
1.030092e+03	0.734391	0.703485
1.295510e+03	0.735606	0.705159
1.394797e+03	0.736053	0.706157
1.427739e+03	0.736152	0.707989
1.541504e+03	0.736260	0.708319
1.742765e+03	0.736431	0.709634
1.841974e+03	0.736476	0.710063
2.827962e+03	0.736742	0.712461
3.025296e+03	0.736757	0.712616
3.991635e+03	0.736823	0.713810
4.081143e+03	0.736826	0.713884
4.163218e+03	0.736829	0.714116
4.461625e+03	0.736836	0.714304
4.561079e+03	0.736837	0.714422
5.335240e+03	0.736839	0.714586
5433	0.736839	0.714590
7.186844e+03	0.736842	0.714652
7.350419e+03	0.736842	0.714655
7.549159e+03	0.736842	0.714656
8.344598e+03	0.736842	0.714668
