ncands	jac_class	jac_instance
9.986339e+00	0.214840	0.206734
9.986339e+00	0.214840	0.206734
9.994536e+00	0.316573	0.317053
1.992486e+01	0.431789	0.413704
2.978210e+01	0.501503	0.462707
3.955260e+01	0.537512	0.494110
4.954645e+01	0.567406	0.504827
6.879918e+01	0.610785	0.544326
7.879303e+01	0.632590	0.551370
1.074556e+02	0.666153	0.578746
1.174276e+02	0.677580	0.583583
1.374276e+02	0.692004	0.593380
1.473682e+02	0.697235	0.596466
1.573005e+02	0.701420	0.599120
1.862828e+02	0.713228	0.614792
2.050581e+02	0.719614	0.624240
2.248736e+02	0.725225	0.628131
2.648736e+02	0.735543	0.642104
2.746182e+02	0.737848	0.644581
2.846182e+02	0.739787	0.646595
3.349925e+02	0.748383	0.657092
3.646633e+02	0.753207	0.660824
3.734385e+02	0.754554	0.664088
4.505608e+02	0.765098	0.684524
4.705123e+02	0.767593	0.685387
5.582220e+02	0.776303	0.693439
5.781735e+02	0.778276	0.694173
5.881735e+02	0.779012	0.694439
7.045471e+02	0.786496	0.702785
7.245471e+02	0.787594	0.705773
7.444255e+02	0.788626	0.706263
7.941626e+02	0.790721	0.707182
8.041626e+02	0.791104	0.708243
9.430779e+02	0.796053	0.710452
1.087691e+03	0.800025	0.717991
1.196486e+03	0.802500	0.719092
1.898331e+03	0.813894	0.736751
2.107999e+03	0.817057	0.753712
2.206486e+03	0.818281	0.754252
2.511063e+03	0.820868	0.755967
3.337772e+03	0.826710	0.771101
3.437277e+03	0.827375	0.772874
3.770249e+03	0.829450	0.774008
3.850249e+03	0.829910	0.774272
4.115667e+03	0.831302	0.775989
5.237369e+03	0.835776	0.784844
6.734264e+03	0.840271	0.787983
6.767206e+03	0.840369	0.789587
7.698267e+03	0.842335	0.794571
8.832577e+03	0.844627	0.796546
1.210258e+04	0.848601	0.799673
1.302137e+04	0.849715	0.800613
1.467181e+04	0.850858	0.803844
2.090496e+04	0.854051	0.807408
2.189337e+04	0.854486	0.807785
2.489464e+04	0.855694	0.814062
2.588305e+04	0.856078	0.814418
2.818187e+04	0.856817	0.816731
2.977943e+04	0.857246	0.820034
3.616741e+04	0.858936	0.821511
3.715445e+04	0.859137	0.821739
4.111124e+04	0.859839	0.822390
5.171124e+04	0.861359	0.823532
5.967719e+04	0.862416	0.827859
6.218267e+04	0.862654	0.829029
6.314901e+04	0.862725	0.830004
6.514901e+04	0.862851	0.830101
7.225091e+04	0.863040	0.832317
7.371409e+04	0.863056	0.832553
7.458770e+04	0.863058	0.832731
7.643931e+04	0.863061	0.832791
7.680162e+04	0.863061	0.832792
7.759706e+04	0.863061	0.832794
