ncands	jacp	jaco
10	0.269365	0.214175
15	0.299089	0.232790
20	0.318948	0.249635
25	0.345079	0.269375
30	0.357703	0.279193
35	0.359750	0.281924
40	0.363651	0.288143
45	0.372935	0.300362
50	0.378891	0.308136
55	0.384074	0.314711
60	0.385829	0.317447
65	0.386888	0.319763
70	0.387776	0.322091
75	0.388643	0.324343
80	0.389191	0.325677
85	0.390802	0.329411
90	0.391957	0.331901
95	0.393095	0.334444
100	0.394951	0.337862
125	0.399638	0.347781
150	0.400090	0.349428
175	0.401384	0.356158
200	0.403181	0.364516
225	0.404302	0.370191
250	0.404654	0.372502
275	0.404866	0.374768
300	0.405018	0.376312
325	0.405115	0.377290
350	0.405317	0.379233
375	0.405546	0.381713
400	0.405766	0.383145
425	0.405978	0.385623
450	0.406126	0.386740
475	0.406325	0.388830
500	0.406473	0.390044
525	0.406531	0.390940
550	0.406535	0.391053
575	0.406539	0.391116
600	0.406539	0.391218
625	0.406551	0.391424
650	0.406561	0.391705
675	0.406596	0.392800
700	0.406623	0.393777
725	0.406663	0.394983
750	0.406730	0.397220
775	0.406780	0.398519
800	0.406820	0.399572
825	0.406895	0.400987
850	0.406937	0.401775
875	0.406961	0.402573
900	0.406972	0.403094
925	0.406983	0.403218
950	0.407000	0.403488
975	0.407016	0.403902
1000	0.407022	0.404006
1000	0.407022	0.404006
