ncands	jac_class	jac_instance
10	0.617911	0.644292
15	0.687667	0.694721
20	0.718277	0.722815
25	0.746539	0.742814
30	0.763770	0.753601
35	0.776956	0.761673
40	0.787940	0.767985
45	0.793756	0.772791
50	0.801591	0.776386
55	0.806161	0.779579
60	0.812416	0.782090
65	0.818015	0.785165
70	0.820637	0.786933
75	0.824026	0.789166
80	0.826222	0.790720
85	0.827162	0.792520
90	0.828364	0.793395
95	0.829103	0.794481
100	0.830424	0.795251
125	0.834850	0.798568
150	0.843525	0.801908
175	0.844378	0.803180
200	0.847308	0.804282
225	0.848402	0.805319
250	0.849016	0.806524
275	0.849846	0.807128
300	0.850112	0.807752
325	0.850323	0.808218
350	0.850427	0.808452
375	0.850508	0.808670
400	0.850608	0.808900
425	0.850781	0.808955
450	0.850837	0.809085
475	0.851023	0.809238
500	0.851309	0.809318
525	0.851320	0.809485
5.499891e+02	0.851386	0.809607
5.749720e+02	0.851444	0.809656
5.999460e+02	0.851481	0.809670
6.249119e+02	0.851466	0.809740
6.498777e+02	0.851494	0.809874
6.748436e+02	0.851501	0.809969
6.998094e+02	0.851549	0.810071
7.247582e+02	0.851555	0.810128
7.497070e+02	0.851745	0.810187
7.746557e+02	0.851712	0.810281
7.996045e+02	0.851716	0.810365
8.245533e+02	0.851813	0.810389
8.494836e+02	0.851879	0.810525
8.743900e+02	0.851917	0.810763
8.992698e+02	0.851927	0.810841
9.241223e+02	0.851942	0.810850
9.489679e+02	0.851978	0.810931
9.737398e+02	0.851985	0.810956
9.984542e+02	0.852004	0.810966
1.096499e+03	0.852350	0.811008
1.193359e+03	0.852329	0.811047
1.289221e+03	0.852336	0.811131
1.384139e+03	0.852444	0.811205
1.477996e+03	0.852472	0.811233
1.570401e+03	0.852565	0.811262
1.661914e+03	0.852565	0.811263
1.752246e+03	0.852595	0.811288
1.841616e+03	0.852598	0.811303
1.930053e+03	0.852560	0.811315
2.017408e+03	0.852568	0.811329
2.103624e+03	0.852571	0.811333
2.188641e+03	0.852572	0.811378
2.272496e+03	0.852572	0.811378
2.355337e+03	0.852615	0.811452
2.436694e+03	0.852611	0.811458
2.516975e+03	0.852611	0.811458
2.596010e+03	0.852611	0.811458
2.673753e+03	0.852612	0.811462
2.749523e+03	0.852612	0.811462
5.038350e+03	0.852648	0.811739
