ncands	jac_class	jac_instance
10	0.275343	0.289911
20	0.377835	0.377990
30	0.438082	0.429615
40	0.484293	0.461281
50	0.516819	0.486959
60	0.542874	0.505062
70	0.563462	0.518607
80	0.575304	0.531697
90	0.590517	0.544242
100	0.600060	0.555194
1.999986e+02	0.639669	0.599170
2.998040e+02	0.656014	0.618706
3.994433e+02	0.664996	0.629578
4.989515e+02	0.666155	0.636061
5.984051e+02	0.669027	0.640919
6.978586e+02	0.673400	0.644159
7.973122e+02	0.675702	0.646763
8.966113e+02	0.676791	0.648877
9.958272e+02	0.677103	0.650103
1.982003e+03	0.681225	0.655450
2.948342e+03	0.681321	0.657321
3.885497e+03	0.681353	0.657891
4.788105e+03	0.681354	0.657935
5.639342e+03	0.681356	0.658059
6.434780e+03	0.681356	0.658071
7.156604e+03	0.681356	0.658071
7.801099e+03	0.681356	0.658071
8.370398e+03	0.681356	0.658071
