ncands	jacp	jaco
10	0.246382	0.275550
15	0.291760	0.319767
20	0.326715	0.353351
25	0.359710	0.379142
30	0.387363	0.400745
35	0.408766	0.419098
40	0.425518	0.430893
45	0.441436	0.442226
50	0.457031	0.452734
55	0.471158	0.462631
60	0.484991	0.472173
65	0.493727	0.480523
70	0.502819	0.488524
75	0.509750	0.493785
80	0.514611	0.498939
85	0.519910	0.503436
90	0.522403	0.507655
95	0.527459	0.512211
100	0.531592	0.515148
125	0.554134	0.532596
150	0.572589	0.546617
175	0.582913	0.555900
200	0.587598	0.563348
225	0.591311	0.568333
250	0.594987	0.572740
275	0.596983	0.576889
300	0.598989	0.580356
325	0.604384	0.582229
350	0.608414	0.584668
375	0.610356	0.587117
400	0.612117	0.589701
425	0.615960	0.591164
450	0.616771	0.592528
475	0.620550	0.595559
4.999993e+02	0.622545	0.596829
5.249822e+02	0.623168	0.597497
5.499652e+02	0.623342	0.597795
5.749481e+02	0.623844	0.598746
5.999167e+02	0.624380	0.599373
6.248825e+02	0.625028	0.600211
6.498484e+02	0.625631	0.600952
6.748142e+02	0.625980	0.601487
6.997801e+02	0.626528	0.602450
7.247459e+02	0.626623	0.602812
7.497111e+02	0.627934	0.603184
7.746530e+02	0.628378	0.603576
7.995458e+02	0.628649	0.604162
8.244262e+02	0.628706	0.604361
8.493067e+02	0.629914	0.604975
8.741872e+02	0.629995	0.605157
8.990519e+02	0.630089	0.605206
9.239153e+02	0.630124	0.605317
9.487609e+02	0.630410	0.605435
9.735738e+02	0.630675	0.605597
9.983689e+02	0.630686	0.605634
2.611642e+03	0.639242	0.621665
