ncands	jacp	jaco
10	0.278638	0.306146
20	0.385774	0.385381
30	0.458154	0.429441
3.999658e+01	0.503064	0.458618
4.995287e+01	0.532282	0.479233
5.986339e+01	0.556661	0.496005
6.986339e+01	0.579090	0.515029
7.973156e+01	0.599856	0.526399
8.952391e+01	0.611988	0.535740
9.921516e+01	0.623013	0.544396
1.192152e+02	0.642852	0.555187
1.487411e+02	0.662794	0.573739
1.587411e+02	0.668235	0.581950
1.687411e+02	0.673483	0.585846
1.787411e+02	0.677132	0.588244
1.887411e+02	0.680676	0.597649
1.987411e+02	0.684206	0.599966
2.087411e+02	0.687432	0.605786
3.238784e+02	0.722877	0.638816
3.338784e+02	0.725476	0.640333
3.438784e+02	0.727848	0.642526
3.938784e+02	0.739171	0.649365
4.038784e+02	0.741195	0.651372
4.720014e+02	0.748971	0.664701
5.719734e+02	0.757475	0.671964
6.716284e+02	0.763359	0.678356
9.131981e+02	0.775924	0.711408
9.731100e+02	0.778675	0.714832
1.210598e+03	0.787257	0.722505
1.328042e+03	0.791417	0.725737
1.473852e+03	0.795455	0.728816
1.720114e+03	0.800447	0.733001
2.029208e+03	0.805971	0.738047
2.129165e+03	0.807552	0.739859
2.382133e+03	0.810991	0.750553
2.412133e+03	0.811212	0.750811
3.380736e+03	0.816709	0.758570
4.370137e+03	0.822052	0.765501
4.570137e+03	0.823085	0.767020
5.058117e+03	0.824735	0.776164
5.233056e+03	0.825243	0.777990
5.253056e+03	0.825292	0.778082
7.678376e+03	0.830692	0.782026
8.078376e+03	0.831423	0.782924
8.590346e+03	0.832145	0.789114
8.775284e+03	0.832382	0.790736
8.785284e+03	0.832393	0.790772
1.462773e+04	0.837955	0.800707
1.481267e+04	0.838057	0.801859
1.667891e+04	0.838793	0.808823
1.821874e+04	0.839253	0.810732
3.208136e+04	0.842951	0.820300
3.308136e+04	0.843151	0.820585
3.462120e+04	0.843390	0.821914
3.502120e+04	0.843443	0.821989
5.021534e+04	0.844613	0.826092
5.492433e+04	0.844899	0.827145
6.452119e+04	0.845450	0.829137
6.923017e+04	0.845702	0.829996
7.023017e+04	0.845745	0.830197
8.490915e+04	0.846339	0.832237
8.718864e+04	0.846388	0.832541
8.735885e+04	0.846391	0.832547
1.538414e+05	0.847365	0.835285
1.639598e+05	0.847511	0.836402
1.720253e+05	0.847580	0.837203
1.740143e+05	0.847586	0.837590
1.764640e+05	0.847590	0.837725
1.773423e+05	0.847591	0.837741
1.774423e+05	0.847591	0.837741
1.851669e+05	0.847589	0.837742
