ncands	jacp	jaco
7.619124e+03	0.663424	0.648478
6.558903e+03	0.663424	0.648478
5.843566e+03	0.663424	0.648462
4.959426e+03	0.663390	0.648192
3.989780e+03	0.663384	0.647991
2.997896e+03	0.663270	0.647250
2000	0.663112	0.646679
1000	0.661418	0.642815
900	0.661224	0.642230
800	0.660431	0.640593
700	0.659996	0.638741
600	0.658368	0.634395
500	0.656089	0.629277
400	0.651191	0.623211
300	0.643159	0.612165
200	0.626235	0.592013
100	0.563107	0.542061
90	0.550210	0.532818
80	0.536954	0.521862
70	0.518284	0.510726
60	0.496555	0.496751
50	0.463174	0.477830
40	0.429120	0.453064
30	0.382852	0.420401
20	0.325957	0.374100
10	0.240068	0.295460
