ncands	jacp	jaco
4.190556e+03	0.842842	0.794759
4.234276e+03	0.842342	0.792420
4.216674e+03	0.842307	0.792312
4.111150e+03	0.842237	0.791971
3.701012e+03	0.841492	0.790186
2.928461e+03	0.839888	0.785480
1.988227e+03	0.836198	0.774627
9.994955e+02	0.824990	0.750679
8.997026e+02	0.820725	0.746042
7.999096e+02	0.818341	0.741775
600	0.809573	0.730114
500	0.804496	0.721129
400	0.798086	0.710693
300	0.787824	0.697135
200	0.768343	0.674058
100	0.719201	0.630637
90	0.709629	0.622441
80	0.698148	0.613457
70	0.689052	0.604407
60	0.675987	0.592852
50	0.666610	0.578676
40	0.645286	0.559414
30	0.617625	0.535791
20	0.551765	0.500216
